期间:2024年第9期,,,,币别:人民币,,公司:南宁产投智创科电投资开发有限责任公司,,包含未过账凭证,,,
科目代码,科目名称,年初余额,年初余额,期初余额,期初余额,本期发生额,本期发生额,本年累计,本年累计,期末余额,期末余额
科目代码,科目名称,借方,贷方,借方,贷方,借方,贷方,借方,贷方,借方,贷方
1221.02.04,其他应收款　_集团外_代垫款项,,,,,,,,,,
1221.02.99,其他应收款　_集团外_其他,,,,,510.35,,510.35,,510.35,
1231,坏账准备,,,,,,,,,,
1231.01,坏账准备_应收账款,,,,,,,,,,
1231.02,坏账准备_其他应收款,,,,,,,,,,
1231.03,坏账准备_应收利息,,,,,,,,,,
1231.04,坏账准备_长期应收款,,,,,,,,,,
1231.05,坏账准备_预付账款,,,,,,,,,,
1331,受托代销商品,,,,,,,,,,
1401,材料采购,,,,,,,,,,
1402,在途物资,,,,,,,,,,
1403,原材料　,,,,,,,,,,
1404,材料成本差异,,,,,,,,,,
1405,库存商品,,,,,,,,,,
1406,发出商品,,,,,,,,,,
1407,商品进销差价,,,,,,,,,,
1408,委托加工物资,,,,,,,,,,
1409,开发产品,,,,,,,,,,
1411,周转材料,,,,,,,,,,
1411.01,周转材料_包装物,,,,,,,,,,
1411.02,周转材料_低值易耗品,,,,,,,,,,
1421,消耗性生物资产,,,,,,,,,,
1461,融资租赁资产,,,,,,,,,,
1461.01,融资租赁资产_房屋及建筑物,,,,,,,,,,
1461.02,融资租赁资产_机器设备,,,,,,,,,,
1464,合同资产,,,,,,,,,,
1465,合同资产减值准备,,,,,,,,,,
1466,合同履约成本,,,,,,,,,,
1466.01,合同履约成本_工程施工,,,,,,,,,,
1466.01.01,合同履约成本_工程施工_人工费,,,,,,,,,,
1466.01.02,合同履约成本_工程施工_材料费,,,,,,,,,,
1466.01.03,合同履约成本_工程施工_机械使用费,,,,,,,,,,
1466.01.99,合同履约成本_工程施工_其他直接费,,,,,,,,,,
1471,存货跌价准备　,,,,,,,,,,
1471.01,存货跌价准备　_存货减值准备,,,,,,,,,,
1471.01.01,存货跌价准备　_存货减值准备_原材料,,,,,,,,,,
1471.01.02,存货跌价准备　_存货减值准备_半成品,,,,,,,,,,
